UKPRN,PROVIDER_NAME,ALIAS,FLAT_NAME_NUMBER,BUILDING_NAME_NUMBER,STREET_NAME,LOCALITY,TOWN,POSTCODE,PRIMARY_CONTACT_POSTCODE,WEBSITE_ADDRESS
10007806,UNIVERSITY OF SUSSEX,,,Sussex House,Southern Ring Road,Falmer,Brighton,BN1 9RH,BN1 9RH,www.sussex.ac.uk
10007162,"UNIVERSITY OF THE ARTS, LONDON",University of the Arts London,,272,HIGH HOLBORN,,LONDON,WC1V 7EY,WC1V 7EY,www.arts.ac.uk
10007114,UNIVERSITY OF THE HIGHLANDS AND ISLANDS,,,12b,Ness Walk,,Inverness,IV3 5SQ,IV3 5SQ,www.uhi.ac.uk
10007164,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL",,,Frenchay Campus,Coldharbour Lane,,Bristol,BS16 1QY,BS16 1QY,www.uwe.ac.uk
10007800,UNIVERSITY OF THE WEST OF SCOTLAND,,,,High Street,,Paisley,PA1 2BE,PA1 2BE,www.uws.ac.uk
10007807,UNIVERSITY OF ULSTER,,,25-51,YORK STREET,,BELFAST,BT15 1ED,BT52 1SA,www.ulster.ac.uk
10008574,UNIVERSITY OF WALES PRIFYSGOL CYMRU,,,,KING EDWARD VII AVENUE,,CARDIFF,CF10 3NS,CF10 3NS,www.wales.ac.uk
10007853,"UNIVERSITY OF WALES, NEWPORT",,,,LODGE ROAD,CAERLEON,NEWPORT,NP18 3QT,NP18 3QT,www.newport.ac.uk
10007858,UNIVERSITY OF WALES: TRINITY SAINT DAVID,,,,COLLEGE ROAD,,CARMARTHEN,SA31 3EP,SA31 3EP,www.trinitysaintdavid.ac.uk
10007163,UNIVERSITY OF WARWICK,,,University House,Kirby Corner Road,,Coventry,CV4 8UW,CV4 8UW,www.warwick.ac.uk
10003614,UNIVERSITY OF WINCHESTER,,,,Sparkford Road,,Winchester,SO22 4NR,SO22 4NR,www.winchester.ac.uk
10007166,UNIVERSITY OF WOLVERHAMPTON,,,,WULFRUNA STREET,,WOLVERHAMPTON,WV1 1LY,WV1 1LY,www.wlv.ac.uk
10007139,UNIVERSITY OF WORCESTER,,,,Henwick Grove,,Worcester,WR2 6AJ,WR2 6AJ,www.worc.ac.uk
10007167,UNIVERSITY OF YORK,,,,,Heslington,York,YO10 5DD,YO10 5DD,www.york.ac.uk
10007657,WRITTLE COLLEGE,,,,Lordship Road,Writtle,Chelmsford,CM1 3RR,CM1 3RR,www.writtle.ac.uk
10007713,YORK ST JOHN UNIVERSITY,,,,Lord Mayors Walk,,York,YO31 7EX,YO31 7EX,www.yorksj.ac.uk
